TCS #, Main , Midblock Route , Side 1 Route , Side 2 Route ,Activation Date,Latitude,Longitude,Count Date,8 Peak Hr Vehicle Volume,8 Peak Hr Pedestrian Volume
570, THE QUEENSWAY ,, ATOMIC AVE , PRIVATE ACCESS ,02/22/1967,43.617770000,-79.540850000,09-21-2009,20873,428
571, STRACHAN AVE ,, FLEET ST , MANITOBA DR ,04/02/1963,43.636270000,-79.409610000,01-24-2018,11246,265
572, CHURCH ST ,, ISABELLA ST ,,12/07/1967,43.668350000,-79.382030000,11-10-2016,9670,4585
573, PARKSIDE DR ,, HIGH PARK BLVD ,,10/26/1954,43.644930000,-79.456260000,11-09-2011,14077,911
574, PARKSIDE DR ,, HOWARD PARK AVE ,,12/03/1953,43.648660000,-79.457780000,09-28-2011,14984,583
575, KEELE ST ,, GLENLAKE AVE ,,11/10/1967,43.658320000,-79.461500000,06-28-2012,14910,1487
576, KEELE ST ,, ANNETTE ST ,,10/16/1952,43.663660000,-79.463750000,04-21-2015,17195,933
577, WESTON RD ,, BLACK CREEK DR , HUMBER BLVD ,01/01/1958,43.683380000,-79.480290000,02-15-2018,22850,687
578, WESTON RD ,, LAMBTON AVE ,,01/31/1958,43.684260000,-79.484010000,06-04-2009,7904,410
579, WESTON RD ,, RAY AVE ,,04/08/1959,43.688670000,-79.494170000,06-03-2009,8253,569
580, WESTON RD ,, DENISON RD E , DENISON RD W ,01/31/1958,43.696240000,-79.508170000,04-22-2013,6704,458
581, WESTON RD ,, JOHN ST ,,02/10/1959,43.700630000,-79.517770000,04-23-2013,6855,1228
582, WESTON RD ,, LITTLE AVE , ELSMERE AVE ,01/31/1958,43.701050000,-79.519440000,01-13-2009,9568,1392
583, WESTON RD ,, CHURCH ST ,,01/31/1958,43.703040000,-79.525360000,04-22-2013,9201,721
584, WESTON RD ,, ST PHILLIPS RD ,,01/01/1963,43.706350000,-79.532290000,06-27-2017,20337,261
585, WESTON RD ,, 401 C E WESTON RD RAMP ,,08/16/1966,43.711880000,-79.535450000,11-24-2010,28448,197
586, WESTON RD ,, 401 C W WESTON RD RAMP ,,12/19/1963,43.714830000,-79.536650000,12-16-2010,31921,117
587, ALBION RD ,, WESTON RD , WALSH AVE ,12/18/1957,43.716971225,-79.537486813,05-28-2016,16101,669
588, WESTON RD ,, SHEPPARD AVE W ,,07/21/1961,43.733760000,-79.538240000,03-19-2014,19786,450
589, WESTON RD ,, FINCH AVE W ,,10/14/1964,43.752100000,-79.542420000,02-21-2013,33275,3092
590, KEELE ST ,, DONALD AVE ,,12/31/1963,43.684930000,-79.472780000,04-13-2016,9466,1348
591, KEELE ST ,, BEECHBOROUGH AVE ,,08/30/1962,43.694360000,-79.474790000,04-13-2016,11967,274
592, KEELE ST ,, GULLIVER RD , INGRAM DR ,02/13/1962,43.699450000,-79.475950000,04-18-2016,16893,1689
593, KEELE ST ,, FLAMBOROUGH DR , DENSLEY AVE ,01/30/1961,43.702930000,-79.476730000,04-13-2016,14349,676
594, KEELE ST ,, MAPLE LEAF DR ,,08/22/1961,43.714800000,-79.479420000,04-07-2016,20077,222
595, KEELE ST ,, 401 C E KEELE ST RAMP ,,10/20/1965,43.721220000,-79.480900000,03-08-2016,33776,316
596, KEELE ST ,, 401 C W KEELE ST RAMP , KEELE ST S 401 C W RAMP ,10/20/1965,43.724385000,-79.481597000,03-08-2016,32531,487
597, KEELE ST ,, WILSON AVE ,,01/31/1958,43.726702000,-79.482042000,11-24-2016,37314,3224
598, KEELE ST ,, TILBURY DR , PRIVATE ACCESS ,02/15/1968,43.730339300,-79.482902000,03-08-2016,20253,778
599, KEELE ST ,, CALVINGTON DR ,,10/29/1962,43.733587000,-79.483670000,03-08-2016,19865,526
600, KEELE ST ,, SHEPPARD AVE W ,,10/09/1962,43.744786600,-79.486324000,01-16-2018,28633,2043
601, FINCH AVE W ,, KEELE ST ,,01/01/1964,43.763480600,-79.490976000,02-27-2016,14038,1885
602, STEELES AVE W ,, KEELE ST ,,02/21/1968,43.781523000,-79.494495000,05-13-2015,39154,1414
603, AVENUE RD ,, HEATH ST W ,,09/29/1968,43.688734700,-79.402311000,04-13-2016,21501,933
604, O CONNOR DR , 40m SOUTH OF , WAKUNDA PL ,,02/05/1968,43.715620000,-79.305035000,03-07-2013,10868,637
605, COLLEGE ST ,, DUFFERIN ST ,,11/19/1948,43.652553800,-79.432536000,06-11-2016,14803,5131
606, DUFFERIN ST , 72m NORTH OF , SYLVAN AVE , PRIVATE ACCESS ,06/06/1963,43.655210500,-79.433568000,04-28-2016,10922,378
607, DUFFERIN ST ,, HALLAM ST ,,06/27/1956,43.665828600,-79.437886000,04-26-2016,12163,911
608, DUFFERIN ST ,, DUPONT ST ,,10/29/1954,43.668472100,-79.439014000,06-11-2016,21475,2644
609, DUFFERIN ST ,, HOPE ST ,,05/02/1968,43.682370800,-79.444848000,04-12-2016,12149,551
610, DUFFERIN ST ,, ROGERS RD ,,01/31/1958,43.685555800,-79.446104000,04-18-2016,18229,2065
611, DUFFERIN ST ,, HOLMESDALE RD , MARTIN ST ,10/20/1966,43.688628000,-79.447385000,04-12-2016,12682,469
612, DUFFERIN ST ,, CASTLEFIELD AVE ,,08/04/1965,43.700751700,-79.451768000,04-11-2016,22169,1115
613, DUFFERIN ST ,, GLENCAIRN AVE ,,10/25/1957,43.707002100,-79.453212000,04-11-2016,19806,1073
614, DUFFERIN ST ,, ORFUS RD ,,03/20/1959,43.720449000,-79.456104000,04-11-2016,19721,1334
615, DUFFERIN ST ,, BENTWORTH AVE , RANEE AVE ,02/19/1963,43.721750700,-79.456413000,03-22-2016,24404,787
616, DUFFERIN ST ,, BRIDGELAND AVE , YORKDALE RD ,12/13/1963,43.726972600,-79.457655000,04-04-2016,27257,249
617, WILSON AVE ,, DUFFERIN ST ,,01/31/1958,43.732080700,-79.458897000,04-04-2016,19454,1122
618, DUFFERIN ST ,, FINCH AVE W ,,01/01/1967,43.768870300,-79.466898000,12-03-2016,35560,1056
619, STEELES AVE W ,, DUFFERIN ST ,,08/14/1968,43.787267200,-79.470123000,12-10-2016,37360,1877
620, DON MILLS RD ,, OVERLEA BLVD , GATEWAY BLVD ,01/14/1978,43.709984100,-79.334385000,05-20-2015,32000,6014
621, DON MILLS RD ,, ST DENNIS DR ,,07/14/1964,43.716545700,-79.337275000,10-21-2010,25442,872
622, REXDALE BLVD ,, QUEENS PLATE DR , PRIVATE ACCESS ,07/25/1985,43.719190900,-79.603470000,04-21-2016,18772,270
623, DON MILLS RD ,, BARBER GREENE RD , GREEN BELT DR ,08/15/1967,43.727637400,-79.340813000,03-17-2011,24273,933
624, DON MILLS RD ,, THE DONWAY E , THE DONWAY W ,11/03/1960,43.740850000,-79.344418000,04-21-2011,26186,199
625, DON MILLS RD ,, THE DONWAY E , THE DONWAY W ,01/01/1958,43.732251000,-79.342103000,06-13-2011,22907,452
626, DON MILLS RD ,, YORK MILLS RD ,,05/26/1965,43.755792700,-79.347046000,04-04-2016,36703,2306
627, SHEPPARD AVE E ,, DON MILLS RD ,,04/01/1964,43.775086500,-79.347030000,06-05-2013,38172,1531
628, DON MILLS RD ,, VAN HORNE AVE ,,06/18/1970,43.787345600,-79.353004000,09-30-2009,22979,1507
629, DON MILLS RD ,, ESTERBROOKE AVE , FAIRVIEW MALL DR ,11/01/1974,43.779100200,-79.348727000,01-16-2018,21140,2285
630, WILSON AVE ,, WILSON HEIGHTS BLVD , TIPPET RD ,01/31/1958,43.734582800,-79.447200000,04-09-2016,21511,475
631, SHEPPARD AVE W ,, WILSON HEIGHTS BLVD ,,02/01/1962,43.751659200,-79.456729000,02-26-2014,32661,2093
632, WILSON HEIGHTS BLVD ,, WATERLOO AVE ,,07/02/1968,43.755336500,-79.459920000,12-10-2009,5324,102
633, KEELE ST ,, GRANDRAVINE DR ,,11/12/1968,43.752013800,-79.488128000,02-18-2014,11576,237
634, DON MILLS RD ,, DUNCAN MILL RD , GRAYDON HALL DR ,11/29/1980,43.761754600,-79.347221000,03-09-2010,23590,1294
635, LAWRENCE AVE W ,, PINE ST ,,12/08/1968,43.701965600,-79.508309000,06-10-2013,12971,1511
636, THE QUEENSWAY ,, ST LAWRENCE AVE , PRIVATE ACCESS ,09/27/1968,43.622653100,-79.519097000,03-28-2011,15888,130
637, WESTON RD ,, BRADSTOCK RD , PRIVATE ACCESS ,04/09/1968,43.738979200,-79.539462800,04-30-2012,12974,1048
638, EGLINTON AVE E ,, MASON RD ,,12/31/1968,43.741793800,-79.225156000,12-09-2010,18274,1023
639, YONGE ST ,, 401 C W YONGE ST S RAMP ,,05/24/1966,43.754840000,-79.408840000,06-25-2012,42568,10
640, DUNDAS ST W ,, SORAUREN AVE ,,04/05/1969,43.651196300,-79.445285000,06-08-2015,13636,608
641, ST CLAIR AVE E ,, HERRON AVE , PRIVATE ACCESS ,02/20/1969,43.710968100,-79.285930000,12-14-2016,16009,331
642, DONLANDS AVE ,, MILLWOOD RD , PAPE AVE ,01/01/1962,43.697210000,-79.349140000,04-22-2017,19015,141
643, BAYVIEW AVE ,, POST RD ,,01/10/1956,43.736430700,-79.381904000,05-09-2011,28651,517
644, BAYVIEW AVE ,, YORK MILLS RD ,,01/01/1957,43.748064100,-79.384143000,04-09-2016,26296,482
645, BAYVIEW AVE ,, FIFE RD , FIFESHIRE RD ,03/21/1960,43.754816300,-79.385527000,03-23-2011,19359,606
646, BAYVIEW AVE ,, 401 C E BAYVIEW RAMP ,,09/14/1965,43.761921200,-79.386856000,06-13-2011,34224,116
647, BAYVIEW AVE ,, 401 C W BAYVIEW RAMP ,,12/22/1967,43.764483000,-79.387379000,05-17-2011,38081,354
648, SHEPPARD AVE E ,, BAYVIEW AVE ,,09/30/1968,43.766624400,-79.388044000,12-02-2015,48835,2161
649, BAYVIEW AVE ,, CITATION DR , EMPRESS AVE ,01/14/1966,43.774346700,-79.389797000,06-19-2017,21680,244
650, BAYVIEW AVE ,, FINCH AVE E ,,12/03/1962,43.784989100,-79.392235000,06-01-2017,37045,1087
651, BAYVIEW AVE ,, CUMMER AVE ,,03/20/1967,43.792339200,-79.393624000,12-06-2017,25686,538
652, STEELES AVE E ,, BAYVIEW AVE ,,03/01/1966,43.803251400,-79.396314000,01-30-2018,37327,470
653, BAYVIEW AVE ,, RUDDINGTON DR , PRIVATE ACCESS ,02/09/1969,43.788038800,-79.392735000,03-30-2009,19775,771
654, DAWES RD ,, SECORD AVE ,,08/07/1959,43.693593000,-79.297270000,10-26-2009,8060,371
655, DAWES RD ,, GOWER ST ,,01/01/1957,43.702292300,-79.296947000,05-17-2012,7243,1177
656, LUMSDEN AVE ,, MAIN ST ,,01/01/1972,43.694867100,-79.304747000,01-06-2011,8472,1003
657, COXWELL AVE ,, SAMMON AVE ,,03/21/1960,43.688820000,-79.325838000,05-05-2016,9053,2703
658, GREENWOOD AVE ,, SAMMON AVE ,,01/31/1958,43.686891200,-79.334692000,01-26-2010,8093,748
659, DONLANDS AVE ,, SAMMON AVE ,,01/01/1960,43.685836000,-79.339519000,04-04-2011,7811,894
660, WOODBINE AVE ,, LUMSDEN AVE , MORTIMER AVE ,01/31/1958,43.692772600,-79.315855000,10-24-2015,14660,714
661, COXWELL AVE ,, MORTIMER AVE ,,01/31/1958,43.690596600,-79.326553000,05-07-2016,12385,947
662, GREENWOOD AVE ,, MORTIMER AVE ,,08/07/1959,43.688642600,-79.335443000,01-25-2010,10268,792
663, DONLANDS AVE ,, MORTIMER AVE ,,08/07/1959,43.687604900,-79.340228000,02-14-2013,12339,712
664, MORTIMER AVE ,, PAPE AVE ,,01/31/1958,43.685721000,-79.347638600,04-22-2017,16061,1819
665, WOODBINE AVE ,, COSBURN AVE ,,01/31/1958,43.696434100,-79.317420000,02-21-2013,13743,878
666, COXWELL AVE ,, COSBURN AVE ,,01/31/1958,43.694137900,-79.328003000,05-09-2016,13156,1838
667, COSBURN AVE ,, GREENWOOD AVE ,,08/07/1959,43.692034700,-79.337723000,08-20-2009,8030,229
668, DONLANDS AVE ,, COSBURN AVE ,,08/07/1959,43.691133800,-79.341670000,03-15-2011,13087,462
669, PAPE AVE ,, COSBURN AVE ,,01/31/1958,43.689392200,-79.348810000,04-22-2017,13186,7481
670, BATHURST ST ,, INVERMAY AVE ,,12/29/1965,43.741497300,-79.435020000,04-07-2015,15664,748
671, BATHURST ST ,, YORK DOWNS DR ,,11/18/1958,43.747241600,-79.436456000,03-23-2015,18000,462
672, BATHURST ST ,, SHEPPARD AVE W ,,01/31/1958,43.755452700,-79.438452000,03-19-2014,28885,2442
673, BATHURST ST , 335m SOUTH OF , ELLERSLIE AVE , PRIVATE ACCESS ,07/27/1961,43.762444200,-79.440171000,04-01-2015,12940,935
674, BATHURST ST ,, HORSHAM AVE , BLUE FLAG GT ,06/01/1965,43.768603900,-79.441657000,03-23-2015,17483,170
675, BATHURST ST ,, FINCH AVE W ,,03/20/1962,43.773856700,-79.442978000,11-29-2016,35888,6373
676, BATHURST ST ,, DREWRY AVE , ANTIBES DR ,10/08/1966,43.781068700,-79.444810000,03-23-2015,25127,1614
677, BATHURST ST ,, ROCKFORD RD , DEWLANE DR ,12/29/1966,43.785938000,-79.446008000,03-23-2015,21721,1193
678, STEELES AVE W ,, BATHURST ST ,,02/02/1966,43.792450000,-79.445714000,03-23-2015,36119,3202
679, OVERLEA BLVD ,, THORNCLIFFE PARK DR ,,01/01/1963,43.707478000,-79.343608000,11-29-2017,17874,2479
680, OVERLEA BLVD ,, THORNCLIFFE PARK DR ,,01/01/1963,43.705011000,-79.349824000,12-12-2012,14180,2178
681, LAIRD DR ,, MCRAE DR , WICKSTEED AVE ,01/01/1957,43.710376000,-79.363498000,04-22-2017,15150,1029
682, LAIRD DR ,, MILLWOOD RD ,,01/01/1961,43.703231000,-79.360591000,04-22-2017,22733,174
683, MILLWOOD RD ,, MCRAE DR ,,01/01/1963,43.704803000,-79.368108000,07-05-2012,7982,976
684, MILLWOOD RD ,, SUTHERLAND DR ,,01/01/1963,43.703575100,-79.364372700,10-23-2012,5206,581
685, SOUTHVALE DR ,, MILLWOOD RD , PRIVATE ACCESS ,01/01/1960,43.702467000,-79.361576000,01-07-2017,8873,118
686, MILLWOOD RD ,, VILLAGE STATION RD , REDWAY RD ,05/30/1961,43.701900000,-79.358090000,01-12-2017,15467,164
687, MILLWOOD RD ,, OVERLEA BLVD ,,05/30/1961,43.701960000,-79.352880000,04-22-2017,23732,250
688, PHARMACY AVE ,, SURREY AVE ,,06/15/1966,43.737418400,-79.302269500,08-19-2009,11729,933
689, WARDEN AVE ,, FIRVALLEY CRT ,,12/23/1965,43.703690000,-79.277480000,05-06-2015,8457,821
690, WARDEN AVE ,, COMSTOCK RD ,,08/19/1964,43.721518400,-79.285010700,11-24-2014,16573,763
691, MIDLAND AVE ,, PROGRESS AVE ,,02/14/1968,43.772980000,-79.272970000,12-10-2016,19487,227
692, KENNEDY RD ,, PROGRESS AVE , GLAMORGAN AVE ,09/11/1969,43.769430000,-79.282260000,11-15-2012,29981,1487
693, ELLESMERE RD ,, PHARMACY AVE ,,08/13/1959,43.759088900,-79.310219200,09-20-2017,24438,1697
694, WARDEN AVE ,, ELLESMERE RD ,,06/09/1963,43.761270000,-79.300720000,04-05-2016,38566,1108
695, ELLESMERE RD ,, BIRCHMOUNT RD ,,03/15/1961,43.763470000,-79.291370000,04-04-2016,32431,1683
696, KENNEDY RD ,, ELLESMERE RD ,,01/02/1960,43.765870000,-79.281090000,04-04-2016,28790,1728
697, ELLESMERE RD ,, MIDLAND AVE ,,12/28/1965,43.767990000,-79.271110000,04-02-2016,25211,512
698, ELLESMERE RD ,, BRIMLEY RD ,,07/06/1968,43.770130000,-79.261280000,04-04-2016,24054,677
699, MCCOWAN RD ,, ELLESMERE RD ,,12/31/1965,43.772200000,-79.251490000,05-02-2015,29600,1601
700, ELLESMERE RD ,, BELLAMY RD N ,,08/30/1968,43.774420000,-79.241710000,04-04-2016,20222,840
701, MARKHAM RD ,, SHEPPARD AVE E ,,04/27/1964,43.793900000,-79.238760000,04-05-2014,31662,1054
702, MARKHAM RD ,, ELLESMERE RD ,,10/12/1964,43.776450000,-79.231740000,03-29-2014,30563,3011
703, MARKHAM RD ,, BRIMORTON DR ,,09/09/1966,43.773510000,-79.230660000,04-08-2014,18729,1380
704, MARKHAM RD ,, GREENCEDAR CRCT , GREENCREST CRCT ,12/08/1964,43.757850000,-79.224690000,04-08-2014,15767,2065
705, ISLINGTON AVE ,, NORSEMAN ST ,,01/01/1958,43.634210000,-79.519100000,04-15-2013,19564,856
706, DUNDAS ST W ,, ISLINGTON AVE ,,03/31/1960,43.651410000,-79.526390000,05-14-2016,31272,376
707, ISLINGTON AVE ,, RATHBURN RD ,,05/10/1965,43.662420000,-79.531160000,04-28-2014,17332,221
708, ISLINGTON AVE ,, THE KINGSWAY ,,01/01/1959,43.668390000,-79.533830000,04-24-2014,18172,97
709, EGLINTON AVE W ,, ISLINGTON AVE ,,01/17/1961,43.679860000,-79.538980000,04-29-2014,32669,985
710, ISLINGTON AVE ,, SUMMITCREST DR ,,06/01/1967,43.683200000,-79.540500000,04-29-2014,16055,214
711, ISLINGTON AVE ,, THE WESTWAY ,,12/30/1963,43.688640000,-79.542860000,04-24-2014,20731,546
712, ISLINGTON AVE ,, 401 C E ISLINGTON RAMP , RESOURCES RD ,12/13/1965,43.708160000,-79.551760000,05-28-2014,26521,143
713, ISLINGTON AVE ,, 401 C W ISLINGTON N RAMP , ALLENBY AVE ,12/17/1965,43.711430000,-79.553280000,05-28-2014,25740,180
714, REXDALE BLVD ,, ISLINGTON AVE ,,07/19/1960,43.713770000,-79.554910000,05-28-2014,20171,91
715, ISLINGTON AVE ,, BERGAMOT AVE ,,08/02/1968,43.716960000,-79.555970000,04-26-2014,17107,1120
716, ISLINGTON AVE ,, ELMHURST DR ,,01/23/1964,43.723180000,-79.558880000,04-23-2014,16084,1335
717, ISLINGTON AVE ,, ALBION RD ,,01/31/1958,43.737270000,-79.565310000,05-25-2016,28222,997
718, REXDALE BLVD ,, BERGAMOT AVE , PRIVATE ACCESS ,07/08/1968,43.713360000,-79.559720000,04-21-2016,14706,309
719, ELLESMERE RD ,, MORNINGSIDE AVE ,,03/09/1968,43.785350000,-79.193370000,02-27-2016,17062,1660
720, EGLINTON AVE W ,, CASTLE KNOCK RD ,,07/31/1969,43.703970000,-79.411670000,03-21-2012,10687,1811
721, WESTON RD ,, MCCORMACK ST , PRIVATE ACCESS ,09/18/1969,43.677250000,-79.471870000,04-22-2015,16442,270
722, WARDEN AVE ,, BAMBURGH CRCL ,,07/23/1984,43.811650000,-79.323390000,01-30-2012,16977,1189
723, ALBION RD ,, ELMHURST DR ,,06/01/1969,43.725140000,-79.550510000,05-25-2016,15959,291
724, KIPLING AVE ,, NORTH QUEEN ST , PRIVATE ACCESS ,12/12/1962,43.625260000,-79.528450000,11-01-2017,23183,255
725, KIPLING AVE ,, NORSEMAN ST ,,08/20/1968,43.631540000,-79.531020000,01-27-2014,20231,300
726, KIPLING AVE ,, BURNHAMTHORPE RD ,,09/25/1960,43.651010000,-79.539330000,12-03-2016,17805,148
727, KIPLING AVE ,, RATHBURN RD ,,10/30/1963,43.659880000,-79.543230000,12-02-2014,15208,286
728, KIPLING AVE ,, PRINCESS MARGARET BLVD ,,10/24/1966,43.670120000,-79.547730000,12-16-2014,12983,119
729, EGLINTON AVE W ,, KIPLING AVE ,,01/01/1962,43.677250000,-79.550900000,09-15-2015,31302,1176
730, KIPLING AVE ,, THE WESTWAY ,,10/08/1964,43.685640000,-79.554680000,12-16-2014,15510,579
731, KIPLING AVE ,, BELFIELD RD ,,07/10/1968,43.704910000,-79.563470000,05-19-2015,20664,235
732, REXDALE BLVD ,, KIPLING AVE ,,01/31/1958,43.711730000,-79.566700000,05-15-2015,32041,1658
733, KIPLING AVE ,, WESTHUMBER BLVD , BROOKMERE RD ,08/19/1965,43.728140000,-79.574650000,12-04-2014,9940,981
734, ALBION RD ,, KIPLING AVE ,,08/27/1965,43.739700000,-79.580330000,11-29-2014,24839,720
735, THE WEST MALL ,, EVANS AVE , WEST MALL S QEW X W RAMP ,12/13/1963,43.608360000,-79.558630000,11-26-2016,16464,29
736, LESLIE ST ,, TALWOOD DR ,,11/13/1970,43.740880000,-79.357450000,12-20-2010,16088,248
737, LESLIE ST ,, SOUTHWELL DR , DENLOW BLVD ,11/24/1970,43.746000000,-79.358500000,11-10-2016,21689,618
738, LESLIE ST ,, BANNATYNE DR , PRIVATE ACCESS ,09/30/1969,43.758730000,-79.361280000,11-08-2016,23421,825
739, SHEPPARD AVE W ,, WILMINGTON AVE , FAYWOOD BLVD ,01/25/1961,43.752710000,-79.451900000,03-03-2014,21079,1444
740, SHEPPARD AVE W ,, SENLAC RD ,,08/18/1966,43.758970000,-79.422540000,03-19-2014,13952,390
741, SHEPPARD AVE E ,, WILLOWDALE AVE ,,09/10/1964,43.764030000,-79.399680000,03-01-2014,18332,332
742, SHEPPARD AVE E ,, HAWKSBURY DR , REAN DR ,02/21/1970,43.767860000,-79.383140000,06-25-2013,22684,1073
743, SHEPPARD AVE E ,, BURBANK DR , BESSARION RD ,10/01/1967,43.769250000,-79.376630000,03-01-2014,18538,367
744, SHEPPARD AVE E ,, LESLIE ST ,,03/06/1968,43.771690000,-79.364160000,04-18-2017,43601,1803
745, SHEPPARD AVE E ,, SHAUGHNESSY BLVD ,,12/16/1966,43.773770000,-79.353330000,06-18-2013,18536,378
746, SHEPPARD AVE E ,, FAIRVIEW MALL DR ,,11/18/1958,43.776280000,-79.341120000,06-05-2013,31362,157
747, SHEPPARD AVE E ,, 404 N SHEPPARD AVE RAMP , YORKLAND RD ,01/01/1980,43.775890000,-79.337750000,06-06-2013,37615,327
748, SHEPPARD AVE E ,, VICTORIA PARK AVE ,,11/25/1955,43.775270000,-79.323010000,04-05-2014,27789,3263
749, SHEPPARD AVE E ,, PHARMACY AVE ,,02/22/1966,43.776530000,-79.317750000,02-03-2018,23952,830
750, SHEPPARD AVE E ,, WARDEN AVE ,,12/16/1964,43.778750000,-79.307890000,03-29-2014,27706,2612
751, SHEPPARD AVE E ,, BIRCHMOUNT RD ,,09/12/1964,43.781090000,-79.298100000,12-07-2016,27624,2561
752, KENNEDY RD ,, SHEPPARD AVE E ,,01/31/1958,43.783300000,-79.288240000,04-05-2014,34649,4037
753, LESLIE ST ,, 401 C W LESLIE ST RAMP ,,03/06/1968,43.767260000,-79.363650000,05-20-2015,36440,141
754, LESLIE ST ,, 401 C E LESLIE ST RAMP , LESMILL RD ,12/10/1989,43.763840000,-79.361920000,06-15-2011,39785,197
755, LESLIE ST ,, YORK MILLS RD ,,02/15/1965,43.752970000,-79.359950000,05-03-2014,34929,1102
756, YORK MILLS RD ,, DVP N YORK MILLS W RAMP , PRIVATE ACCESS ,03/30/1967,43.758930000,-79.334030000,03-09-2016,20345,364
757, YORK MILLS RD ,, FENSIDE DR ,,08/24/1965,43.760700000,-79.327757000,03-09-2016,15574,1324
758, VICTORIA PARK AVE ,, 401 C W VICTORIA PR RAMP ,,06/09/1965,43.769472089,-79.320535548,12-12-2017,27582,28
759, VICTORIA PARK AVE ,, 401 C E VICTORIA PR RAMP ,,06/17/1966,43.766940000,-79.319180000,11-24-2010,35267,0
760, WARDEN AVE ,, 401 C W WARDEN AV RAMP ,,08/22/1966,43.771566534,-79.304899276,05-05-2015,31051,14
761, WARDEN AVE ,, 401 C E WARDEN AV S RAMP ,,07/06/1968,43.769030000,-79.303660000,05-05-2015,31679,13
762, BROWNS LINE ,, VALERMO DR ,,07/27/1965,43.606042400,-79.547140800,11-24-2016,19000,116
763, BROWNS LINE ,, HORNER AVE ,,08/04/1960,43.601690000,-79.545230000,11-26-2016,15384,542
764, KIPLING AVE ,, HORNER AVE ,,06/27/1962,43.607220000,-79.520740000,02-11-2014,16598,699
765, KIPLING AVE ,, EVANS AVE ,,01/19/1961,43.615890000,-79.524610000,05-20-2015,27591,1056
766, LAKE SHORE BLVD W ,, TWENTY SEVENTH ST ,,10/27/1972,43.596430000,-79.524970000,11-12-2015,10258,1358
767, KIPLING AVE ,, BIRMINGHAM ST ,,08/04/1957,43.600710000,-79.518000000,03-13-2013,9660,794
768, EGLINTON AVE E , 18m EAST OF , HOYLE AVE ,,08/15/1984,43.710580000,-79.379650000,05-09-2011,16650,648
769, ST CLAIR AVE W ,, NORTHCLIFFE BLVD ,,06/23/1981,43.678450000,-79.440840000,08-12-2015,7611,2837
770, DWIGHT AVE ,, BIRMINGHAM ST , MURRIE ST ,05/15/1964,43.604850000,-79.498970000,10-17-2012,3813,488
771, DWIGHT AVE ,, NEW TORONTO ST , STRUTHERS ST ,09/15/1963,43.608160000,-79.500340000,10-18-2012,3348,203
772, EGLINTON AVE W ,, WILLIAM R ALLEN RD S , PRIVATE ACCESS ,08/09/1976,43.698700000,-79.436430000,10-22-2012,26562,5466
773, ROYAL YORK RD ,, MIMICO AVE ,,01/31/1958,43.612260000,-79.496720000,12-18-2014,6453,895
774, EVANS AVE ,, HORNER AVE ,,12/11/1968,43.616966678,-79.518828392,11-26-2016,13910,58
775, ISLINGTON AVE ,, EVANS AVE ,,12/11/1968,43.618400000,-79.511330000,11-26-2016,16371,125
776, DUNDAS ST W ,, PRINCE EDWARD DR N ,,02/08/1963,43.660700000,-79.510400000,05-12-2016,19911,385
777, DUNDAS ST W ,, BURNHAMTHORPE RD , CORDOVA AVE ,06/04/1959,43.648800000,-79.528730000,05-14-2016,20467,1662
778, DUNDAS ST W ,, SHAVER AVE S , SHORNCLIFFE RD ,11/26/1962,43.632150000,-79.544770000,03-12-2013,26144,533
779, DUNDAS ST W ,, POPLAR AVE , SUBWAY CRES ,04/08/1972,43.636130000,-79.540110000,06-19-2017,24546,1332
780, LAWRENCE AVE W ,, THE WESTWAY , ROYAL YORK RD ,08/20/1964,43.696180000,-79.532710000,04-16-2016,13369,352
781, EGLINTON AVE W ,, ROYAL YORK RD ,,01/01/1959,43.682320000,-79.526560000,04-16-2016,27112,449
782, SCARLETT RD ,, EAST DR , PRIVATE ACCESS ,10/24/1962,43.676860000,-79.505950000,12-03-2016,10743,329
783, SCARLETT RD ,, EDENBRIDGE DR ,,11/19/1968,43.680810000,-79.508810000,11-29-2016,12700,156
784, EGLINTON AVE W ,, SCARLETT RD ,,11/27/1970,43.683930000,-79.511350000,12-05-2016,27560,931
785, BURNHAMTHORPE RD ,, MARTIN GROVE RD ,,01/26/1967,43.648810000,-79.548970000,05-09-2016,15923,369
786, EGLINTON AVE W ,, MARTIN GROVE RD ,,01/01/1960,43.674510000,-79.563210000,05-07-2016,30870,705
787, MARTIN GROVE RD ,, THE WESTWAY , REDGRAVE DR ,06/02/1969,43.683340000,-79.567120000,05-07-2016,10236,896
788, MARTIN GROVE RD ,, 401 X W MARTIN GROVE RAMP ,,01/01/1966,43.692920000,-79.571520000,05-03-2016,13000,36
789, MARTIN GROVE RD ,, BELFIELD RD ,,11/17/1969,43.701980000,-79.575600000,05-07-2016,11866,103
790, REXDALE BLVD ,, MARTIN GROVE RD ,,03/12/1963,43.713880000,-79.581060000,05-07-2016,21340,486
791, ALBION RD ,, MARTIN GROVE RD ,,08/30/1968,43.741980000,-79.594240000,05-24-2016,24263,1831
792, BLOOR ST W ,, THE EAST MALL ,,12/11/1965,43.636950000,-79.556700000,09-18-2012,29287,742
793, BLOOR ST W ,, THE WEST MALL ,,07/16/1965,43.635640000,-79.562300000,06-07-2016,22993,1170
794, DIXON RD ,, 401 X E DIXON W RAMP ,,12/20/1968,43.692260000,-79.567710000,12-13-2016,21135,2
795, WESTON RD ,, GAYDON AVE , LILAC AVE ,12/17/1969,43.720370000,-79.537460000,05-10-2012,19649,386
